,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Yumen,0,CN,1584426305,9,40.28,97.2,54.84,25.95
1,Hilo,90,US,1584426306,78,19.73,-155.09,73.99,5.82
2,Necochea,28,AR,1584425745,94,-38.55,-58.74,57.99,4.0
3,Rikitea,61,PF,1584426307,84,-23.12,-134.97,80.4,9.53
4,Rio Grande,0,BR,1584425769,97,-32.03,-52.1,61.0,8.59
5,Mackenzie,20,CA,1584426307,49,55.3,-123.17,23.0,1.16
6,Hvide Sande,96,DK,1584426307,93,56.0,8.13,46.0,14.99
7,Puerto Ayora,59,EC,1584426307,86,-0.74,-90.35,78.01,1.01
8,Bluff,25,NZ,1584426308,72,-46.6,168.33,52.0,3.0
9,Chokurdakh,0,RU,1584426052,88,70.63,147.92,-12.3,2.06
10,Bucak,40,TR,1584426052,58,37.46,30.59,46.4,21.92
11,Praia,20,CV,1584426053,68,14.92,-23.51,68.0,16.11
12,Ponta do Sol,75,PT,1584426053,54,32.67,-17.1,59.0,16.11
13,Bambous Virieux,75,MU,1584426053,78,-20.34,57.76,80.01,11.41
14,Barrow,90,US,1584426054,85,71.29,-156.79,15.8,9.17
15,Lebu,3,CL,1584426054,89,-37.62,-73.65,53.76,5.37
16,Jamestown,90,US,1584426054,86,42.1,-79.24,39.99,9.17
17,Eyemouth,99,GB,1584426054,87,55.87,-2.09,48.99,6.93
18,Mataura,22,NZ,1584426055,72,-46.19,168.86,52.0,3.0
19,Wanning,100,CN,1584426055,75,18.8,110.4,75.54,6.24
20,New Norfolk,80,AU,1584426055,41,-42.78,147.06,79.0,8.05
21,Ous,87,RU,1584426055,83,60.91,61.52,28.02,7.9
22,Sergeevka,66,KZ,1584426056,77,53.88,67.42,27.12,16.04
23,Butaritari,80,KI,1584426056,75,3.07,172.79,83.64,10.54
24,Warri,100,NG,1584425980,89,5.52,5.75,79.32,1.63
25,Dikson,100,RU,1584425912,90,73.51,80.55,7.5,28.12
26,Atuona,33,PF,1584425941,73,-9.8,-139.03,82.2,11.32
27,Faanui,28,PF,1584425772,67,-16.48,-151.75,83.82,4.18
28,Ushuaia,40,AR,1584425908,75,-54.8,-68.3,44.6,11.41
29,Calvinia,24,ZA,1584426057,52,-31.47,19.78,69.8,3.36
30,Cobija,100,BO,1584426057,99,-11.03,-68.77,72.12,2.91
31,Cayenne,40,GF,1584425825,94,4.93,-52.33,73.4,5.53
32,Esil,84,KZ,1584426058,78,51.96,66.4,27.12,11.81
33,Kasongo-Lunda,100,CD,1584426058,99,-6.47,16.82,67.08,2.73
34,Cherskiy,55,RU,1584426058,84,68.75,161.3,25.86,11.9
35,Carnarvon,53,AU,1584426059,57,-24.87,113.63,80.6,17.22
36,Saint-Philippe,75,RE,1584425882,74,-21.36,55.77,86.0,10.29
37,Airai,74,TL,1584426059,84,-8.93,125.41,74.46,3.29
38,Kavieng,38,PG,1584426059,78,-2.57,150.8,83.1,14.09
39,Riyadh,0,SA,1584426059,40,24.69,46.72,71.6,8.05
40,Huarmey,92,PE,1584425870,72,-10.07,-78.15,72.66,1.03
41,Kavaratti,20,IN,1584425775,66,10.57,72.64,86.0,4.7
42,Mtwara,100,TZ,1584426060,90,-10.27,40.18,78.6,3.49
43,Miquelon,78,PM,1584426060,65,47.1,-56.38,28.2,6.85
44,Jiuquan,0,CN,1584426061,21,39.74,98.52,44.04,4.92
45,Lompoc,75,US,1584426004,93,34.64,-120.46,45.0,6.93
46,Acurenam,100,GQ,1584426061,98,1.03,10.65,69.78,1.77
47,Batemans Bay,0,AU,1584426061,63,-35.72,150.18,71.01,3.0
48,Mar del Plata,0,AR,1584425868,93,-38.0,-57.56,62.01,2.24
49,Busselton,38,AU,1584426062,42,-33.65,115.33,73.0,24.74
50,Puerto Colombia,91,CO,1584426062,78,10.99,-74.95,78.8,20.8
51,Calbuco,29,CL,1584426062,90,-41.77,-73.13,57.54,16.26
52,Narsaq,0,GL,1584426063,56,60.92,-46.05,12.2,8.05
53,Shepsi,91,RU,1584426063,57,44.04,39.15,39.18,13.82
54,Tabou,99,CI,1584425818,95,4.42,-7.35,76.08,2.98
55,Cape Town,32,ZA,1584425925,77,-33.93,18.42,66.99,1.12
56,Gumlā,0,IN,1584426064,26,23.05,84.55,81.48,3.85
57,Talnakh,97,RU,1584426064,84,69.49,88.4,-2.2,24.61
58,Hobart,56,AU,1584426064,41,-42.88,147.33,79.0,8.05
59,Qaanaaq,5,GL,1584426064,67,77.48,-69.36,-14.1,10.4
60,Rumilly,8,FR,1584426064,81,45.87,5.95,48.2,3.36
61,Vaini,75,TO,1584426065,83,-21.2,-175.2,84.2,16.11
62,Clyde River,1,CA,1584426065,74,70.47,-68.59,-25.6,13.87
63,Fairbanks,75,US,1584425690,85,64.84,-147.72,27.0,4.7
64,Soe,33,ID,1584426065,58,-9.86,124.28,86.16,7.31
65,Saskylakh,10,RU,1584426066,90,71.92,114.08,-25.08,13.98
66,Nísia Floresta,40,BR,1584426066,94,-6.09,-35.21,75.2,4.7
