,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Hamilton,1,US,1584508507,89,39.18,-84.53,42.8,3.11
1,Upernavik,88,GL,1584508601,52,72.79,-56.15,-6.61,7.83
2,Albany,20,US,1584508601,56,42.6,-73.97,41.0,9.17
3,Port Elizabeth,0,ZA,1584508602,88,-33.92,25.57,64.4,16.11
4,Jamestown,75,US,1584508602,95,42.1,-79.24,37.0,6.93
5,Kununurra,40,AU,1584508602,34,-15.77,128.73,96.8,8.05
6,Roebourne,0,AU,1584508602,14,-20.78,117.13,105.71,7.9
7,Saint Paul Harbor,40,US,1584508602,75,57.79,-152.41,41.0,6.93
8,George Town,20,MY,1584508389,55,5.41,100.34,91.4,8.05
9,Butaritari,1,KI,1584508603,76,3.07,172.79,83.75,14.72
10,Castro,56,BR,1584508603,99,-24.79,-50.01,63.59,3.56
11,Chapleau,51,CA,1584508603,96,47.84,-83.4,11.75,5.41
12,Khovd,30,MN,1584508604,21,48.01,91.64,48.65,2.51
13,Mataura,82,NZ,1584508604,77,-46.19,168.86,57.99,7.0
14,Rikitea,45,PF,1584508604,82,-23.12,-134.97,80.15,10.63
15,Qaanaaq,96,GL,1584508604,57,77.48,-69.36,-19.03,7.99
16,Jadu,95,LY,1584508604,74,31.95,12.03,55.13,10.42
17,Port Alfred,0,ZA,1584508605,91,-33.59,26.89,64.0,7.0
18,Eureka,90,US,1584508605,75,40.8,-124.16,46.4,5.82
19,Mar del Plata,90,AR,1584508519,93,-38.0,-57.56,68.0,2.71
20,Bethel,1,US,1584508606,60,41.37,-73.41,46.99,8.05
21,Tabou,100,CI,1584508606,96,4.42,-7.35,76.01,3.33
22,Río Gallegos,47,AR,1584508606,55,-51.62,-69.22,55.4,12.75
23,Dakar,75,SN,1584508352,94,14.69,-17.44,68.0,11.41
24,Kendari,56,ID,1584508607,71,-3.94,122.5,84.47,7.09
25,Palmeirais,100,BR,1584508607,97,-5.98,-43.06,72.77,2.01
26,Pinheiro Machado,90,BR,1584508312,85,-31.58,-53.38,66.99,13.31
27,Ushuaia,40,AR,1584508607,58,-54.8,-68.3,53.6,8.05
28,Kapaa,90,US,1584508412,88,22.08,-159.32,75.2,11.41
29,Langsa,77,ID,1584508608,54,4.47,97.97,90.95,8.3
30,Esil,23,KZ,1584508608,94,51.96,66.4,22.19,9.44
31,Todos Santos,75,MX,1584508608,64,23.45,-110.22,72.0,0.81
32,Cockburn Town,26,TC,1584508503,75,21.46,-71.14,75.11,19.3
33,Carnarvon,100,AU,1584508608,61,-24.87,113.63,80.6,23.04
34,Amapá,100,BR,1584508609,99,1.0,-52.0,71.87,2.3
35,Bluff,92,NZ,1584508609,77,-46.6,168.33,57.99,7.0
36,Sabha,99,LY,1584508609,35,27.04,14.43,63.23,10.8
37,East London,0,ZA,1584508609,77,-33.02,27.91,68.0,4.7
38,Hilo,90,US,1584508555,88,19.73,-155.09,73.99,7.96
39,Paraíso,20,CR,1584508610,68,9.84,-83.87,69.8,12.75
40,Punta Arenas,75,CL,1584508326,66,-53.15,-70.92,55.0,14.99
41,Aklavik,40,CA,1584508610,85,68.22,-135.01,12.2,8.05
42,Tuatapere,100,NZ,1584508611,77,-46.13,167.68,57.99,7.0
43,Bredasdorp,0,ZA,1584508331,82,-34.53,20.04,62.6,5.82
44,Iqaluit,90,CA,1584508611,85,63.75,-68.51,15.8,8.05
45,Puerto Ayora,19,EC,1584508611,82,-0.74,-90.35,77.0,1.01
46,Camacha,75,PT,1584508612,62,33.08,-16.33,60.8,20.8
47,Igrim,33,RU,1584508612,80,63.19,64.42,24.89,12.08
48,Lander,1,US,1584508612,80,42.83,-108.73,35.6,6.93
49,Pangody,25,RU,1584508612,87,65.85,74.49,14.45,16.84
50,Tessalit,91,ML,1584508613,24,20.2,1.01,74.21,1.81
51,Point Pedro,45,LK,1584508613,77,9.82,80.23,81.95,13.27
52,Mitzic,100,GA,1584508613,97,0.78,11.55,70.43,2.19
53,Arraial do Cabo,20,BR,1584508613,100,-22.97,-42.03,71.6,2.24
54,Kuching,40,MY,1584508614,94,1.55,110.33,80.6,7.0
55,Hermanus,15,ZA,1584508614,85,-34.42,19.23,62.01,3.0
56,Idritsa,74,RU,1584508614,87,56.33,28.9,37.13,10.18
57,Nelson Bay,20,AU,1584508614,60,-32.72,152.15,79.0,10.29
58,Asău,18,RO,1584508615,82,46.43,26.4,41.0,5.82
59,Ulladulla,30,AU,1584508615,26,-35.35,150.47,84.2,11.41
60,Lebu,4,CL,1584508615,97,-37.62,-73.65,51.17,4.45
61,Laizhou,0,CN,1584508615,16,37.18,119.93,76.37,23.55
62,Anadyr,56,RU,1584508615,73,64.75,177.48,24.8,8.95
63,Manggar,42,ID,1584508616,75,-2.88,108.27,83.57,12.44
64,Porto Velho,75,BR,1584508616,94,-8.76,-63.9,77.0,4.7
65,Avarua,100,CK,1584508339,88,-21.21,-159.78,80.6,13.87
66,Nanortalik,46,GL,1584508616,56,60.14,-45.24,22.37,4.9
67,Kahului,75,US,1584508616,94,20.89,-156.47,71.6,4.7
68,Samarai,62,PG,1584508617,83,-10.62,150.67,80.15,6.24
69,Waipawa,4,NZ,1584508617,48,-41.41,175.52,62.6,16.11
70,Ponta do Sol,40,PT,1584508617,59,32.67,-17.1,60.8,12.75
71,Nyurba,84,RU,1584508618,82,63.28,118.33,4.01,1.23
72,Dudinka,75,RU,1584508618,92,69.41,86.18,12.2,31.32
73,Atbasar,24,KZ,1584508618,92,51.8,68.33,22.91,9.06
74,Barre,90,US,1584508618,55,44.2,-72.5,39.2,12.75
75,Dikson,97,RU,1584508618,99,73.51,80.55,-5.89,5.97
76,Tiksi,0,RU,1584508619,88,71.69,128.87,-28.21,7.83
77,Arouca,20,TT,1584508619,78,10.63,-61.33,77.0,7.47
78,Pisco,95,PE,1584508620,78,-13.7,-76.22,73.4,5.82
79,Saskylakh,37,RU,1584508620,83,71.92,114.08,-10.03,15.93
80,Clyde River,90,CA,1584508620,75,70.47,-68.59,-16.6,16.11
81,Fontanka,18,UA,1584508620,65,46.56,30.86,39.2,2.24
82,Cabo San Lucas,75,MX,1584508530,73,22.89,-109.91,72.0,6.93
83,Pacific Grove,1,US,1584508621,75,36.62,-121.92,48.2,3.36
84,Longyearbyen,20,SJ,1584508621,68,78.22,15.64,-18.4,9.17
85,Alice Springs,0,AU,1584508613,19,-23.7,133.88,95.0,8.05
86,Busselton,15,AU,1584508621,32,-33.65,115.33,72.0,20.24
87,New Norfolk,75,AU,1584508622,49,-42.78,147.06,71.6,10.29
88,Tehachapi,90,US,1584508622,85,35.13,-118.45,50.0,9.17
89,Dzitbalché,13,MX,1584508623,68,20.32,-90.05,74.57,6.51
90,Goderich,0,CA,1584508502,83,43.75,-81.72,30.99,1.01
91,Talnakh,75,RU,1584508623,92,69.49,88.4,12.2,31.32
92,Sakaiminato,20,JP,1584508623,51,35.55,133.23,60.8,9.17
93,Labuhan,59,ID,1584508623,68,-6.88,112.21,86.99,10.0
94,Oussouye,0,SN,1584508624,82,12.48,-16.55,66.65,6.73
95,Toora-Khem,100,RU,1584508624,75,52.47,96.11,24.53,3.78
96,Khatanga,100,RU,1584508624,86,71.97,102.5,-7.69,7.2
97,Hobart,75,AU,1584508624,49,-42.88,147.33,71.6,10.29
98,Ilhabela,0,BR,1584508624,81,-23.78,-45.36,76.91,4.0
99,Marawi,86,PH,1584508625,78,8.0,124.29,84.0,8.01
100,Cape Town,20,ZA,1584508363,93,-33.93,18.42,64.99,9.17
101,Otradnoye,90,RU,1584508626,86,59.78,30.82,39.2,11.18
102,Oblivskaya,28,RU,1584508626,52,48.54,42.5,40.91,5.61
103,São Filipe,0,CV,1584508626,76,14.9,-24.5,66.65,13.87
104,Haines Junction,97,CA,1584508626,74,60.75,-137.51,14.63,5.53
105,Thompson,5,CA,1584508451,58,55.74,-97.86,-5.8,5.82
106,Chake Chake,100,TZ,1584508627,74,-5.25,39.77,83.03,0.34
107,Piaçabuçu,99,BR,1584508508,87,-10.41,-36.43,77.45,5.01
108,Sakakah,0,SA,1584508627,57,29.97,40.21,51.8,13.87
109,San Luis,0,AR,1584508627,80,-33.3,-66.34,62.15,4.12
110,Arys,75,KZ,1584508628,48,42.43,68.8,64.4,6.71
111,Esperance,40,AU,1584508628,31,-33.87,121.9,73.4,24.16
112,Severo-Kuril'sk,100,RU,1584508628,90,50.68,156.12,20.21,16.55
113,Geraldton,100,AU,1584508628,38,-28.77,114.6,77.0,16.11
114,Tsibanobalka,40,RU,1584508628,56,44.98,37.34,32.0,17.9
115,Otavi,44,NA,1584508629,77,-19.65,17.33,66.65,7.7
116,Saldanha,17,ZA,1584508629,87,-33.01,17.94,57.2,1.12
117,Rosita,7,NI,1584508629,99,13.93,-84.4,67.01,1.57
118,Hong Gai,75,VN,1584508629,88,20.96,107.09,71.6,5.82
119,Saint-François,0,FR,1584508630,93,46.42,3.91,45.0,1.12
120,Dvinskoy,100,RU,1584508630,83,62.15,45.12,34.07,13.96
121,Zhezkazgan,75,KZ,1584508630,67,47.8,67.71,32.0,4.47
122,Chui,100,UY,1584508630,83,-33.7,-53.46,67.91,14.5
123,Margate,30,GB,1584508630,87,51.38,1.39,48.99,10.29
124,Oranjemund,9,NA,1584508631,90,-28.55,16.43,60.17,5.91
125,Ketchikan,1,US,1584508387,65,55.34,-131.65,44.6,13.87
